Q,H,Q_ssa,H_ssa
35256.13,35252.78,35284.21882113606,35243.47054334839
35270.0,35254.58,35286.887946362396,35243.308154193364
35303.53,35275.09,35289.11986824246,35242.20370578463
35409.61,35190.8,35290.52785358421,35240.10476299965
35320.89,35250.62,35289.72288690595,35238.27110530195
35262.69,35256.43,35288.02507208091,35236.16897634198
35266.64,35242.26,35286.441756734996,35234.126305766506
35274.28,35258.69,35285.105436838065,35232.56495452422
35268.86,35208.78,35284.07063562593,35231.55251517293
35236.23,35175.0,35283.6775801656,35231.84206628204
35241.51,35193.45,35284.57046480889,35233.97917608949
35294.41,35171.39,35286.72644775937,35237.70863607843
35290.39,35266.76,35289.30943321683,35243.184275489104
35294.41,35259.23,35292.427443547764,35249.08694946455
35320.89,35288.05,35295.97375853594,35255.30864766198
35310.32,35267.45,35299.485838027584,35261.236147490505
35301.49,35275.9,35302.9809955839,35266.89441952466
35310.32,35273.21,35306.446185508496,35271.93914560905
35292.91,35258.01,35309.68866201159,35276.214808169905
35307.33,35290.01,35312.93793870419,35279.8246156889
35319.87,35295.01,35315.98169488873,35282.36925496096
35330.02,35317.25,35318.66110424679,35283.85748141897
35329.87,35319.02,35320.79787061905,35284.15370101001
35351.68,35323.23,35322.3510319632,35283.418243233835
35344.86,35322.34,35322.873064227686,35281.87852813323
35326.52,35197.78,35322.71961371753,35279.70069873649
35305.75,35271.47,35322.372199822865,35278.602734624124
35320.89,35242.14,35322.236194479694,35277.94321745076
35294.41,35242.04,35322.1303851072,35278.18932547084
35294.41,35248.38,35322.50130923741,35279.47981387514
35294.41,35262.59,35323.43150249617,35281.77983404183
35356.53,35300.0,35324.922713677995,35284.83107049342
35321.73,35313.34,35326.06991781238,35288.13773431837
35330.01,35306.47,35327.36540799311,35291.343456974966
35337.35,35317.13,35328.75251814413,35294.485296670966
35340.88,35305.01,35330.13375513331,35297.33776702335
35347.39,35298.84,35331.47876312822,35300.01289837294
35347.39,35326.82,35332.729040642815,35302.53866856643
35329.46,35303.54,35333.89480067802,35304.58448181773
35330.3,35312.94,35335.26105180589,35306.48203457335
35326.88,35292.56,35336.78423089992,35308.120136644866
35329.37,35299.13,35338.487295173705,35309.82986488979
35329.25,35290.0,35340.34411615542,35311.60960428275
35347.39,35322.19,35342.393246841835,35313.64819744137
35347.04,35319.92,35344.40733879618,35315.67919704747
35337.37,35313.05,35346.47881035394,35317.86351916084
35325.99,35292.03,35348.92974677109,35320.58046544998
35361.2,35326.0,35352.00999816817,35324.015211238024
35361.71,35331.91,35355.30781121039,35327.88684264272
35377.31,35338.32,35358.97645697039,35332.15069228905
35383.06,35363.88,35362.8465449901,35336.71471372142
35375.14,35347.08,35366.857672486025,35341.25619735949
35378.25,35359.32,35370.988526068475,35345.89548020453
35356.35,35333.61,35375.21145956393,35350.411756657886
35346.33,35333.56,35379.73510821559,35355.02271823904
35365.14,35343.88,35384.56971685098,35359.6033267771
35373.91,35350.01,35389.34970772511,35363.93008716866
