Q,H,Q_ssa,H_ssa
35064.01,35032.62,35041.746126507554,35001.776960260235
35076.83,35040.22,35044.69633766421,35006.06404476198
35083.29,35055.99,35045.38554626363,35008.099932625424
35103.15,35080.14,35043.707801955105,35007.503905662496
35094.0,35047.0,35039.448777726786,35003.91019354516
35041.99,35004.44,35032.92793045247,34997.95074672755
35036.5,34978.2,35025.050586610014,34990.39201088887
34990.01,34951.98,35016.23103010883,34981.907350209185
34971.28,34946.3,35007.44069167409,34973.217330382664
34961.83,34945.54,34999.21691615567,34964.732979411965
34978.21,34943.52,34991.97964750775,34956.85446347768
34998.0,34960.09,34985.814788901786,34949.9599232999
35001.81,34972.07,34980.56610646113,34944.15531090005
34978.39,34919.34,34976.41250613828,34939.50823427754
34911.56,34899.6,34973.88769662833,34936.83927797332
34913.64,34885.33,34973.9884700237,34936.553901130086
34951.99,34912.5,34976.80139987943,34938.86014402657
34978.21,34936.22,34981.6960098066,34943.25690147934
34998.0,34939.12,34987.96459399398,34949.28044241776
35030.71,34982.9,34995.03121819773,34956.394965946376
35024.99,34987.54,35002.13135430377,34963.68618954947
35050.54,34972.74,35008.999175155746,34970.64066718422
35004.45,34963.17,35015.0883522279,34977.19241777189
35019.6,35000.35,35020.979353737675,34983.1930551608
35030.71,35007.75,35026.40370082411,34988.155000308914
35030.71,35010.89,35031.47897677274,34992.05783206754
35039.65,35026.81,35036.51362400454,34995.08362890919
35020.1,34982.17,35041.61815972896,34997.244557680635
35050.54,35000.01,35047.36975425159,34999.42259966459
35076.83,35030.43,35053.646468158586,35001.66367644027
35083.29,35027.61,35060.282624327745,35003.846359077295
35109.61,35009.68,35067.25174946134,35006.279558875656
35068.13,35004.44,35074.18646913862,35009.41502126334
35056.99,35004.44,35081.75002738358,35013.54201864218
35056.99,34978.2,35090.24627238577,35018.9029417253
35018.51,34951.98,35099.78680626276,35025.90414787882
35018.51,34980.65,35110.87613051176,35034.896182792996
35109.61,34989.08,35123.40227253359,35045.3601962072
35154.26,35050.54,35136.00964397475,35057.11670620423
35165.85,35076.84,35148.00850350524,35069.28251153634
35235.05,35155.86,35159.233181890966,35081.36210637172
35254.13,35152.99,35168.81736034265,35092.34969318959
35241.51,35201.4,35176.62241983651,35102.3505605668
35267.95,35135.95,35183.18142297494,35110.85515873018
35188.69,35135.95,35188.50203608307,35119.02815035932
35167.7,35116.96,35194.22616520104,35127.16065855138
35162.31,35120.2,35201.03178833857,35135.90621456304
35162.31,35109.6,35209.33719615324,35145.5474821555
35139.43,35109.6,35219.511911094945,35156.61741823502
35152.35,35125.76,35232.11038045248,35169.34461095293
35198.69,35142.32,35247.061960544794,35183.69542492468
35267.95,35170.72,35263.808631770095,35199.516281705524
35287.95,35182.24,35281.38768199495,35216.443587268615
35294.41,35208.64,35299.47766838168,35234.2219111483
35340.93,35261.2,35317.86647816977,35252.32836298379
35360.77,35296.44,35335.771722384125,35269.94601796819
35373.91,35344.01,35352.74300697914,35286.3950527536
35390.76,35328.23,35368.32768481645,35300.73957061324
35407.04,35328.23,35381.82067031307,35312.92293900516
35400.45,35362.22,35392.7480226101,35322.7085927344
35425.1,35340.94,35401.05322864122,35329.54707287451
35441.81,35367.46,35406.229339455356,35333.623214353785
35447.13,35395.18,35408.03969392726,35334.69082744731
35429.88,35320.89,35406.52726023875,35332.52809483457
35347.39,35320.89,35402.12765137053,35328.53049216877
35373.91,35294.41,35396.41758166565,35323.0367701631
35393.99,35294.41,35389.402249051054,35316.79198000641
35393.99,35294.41,35381.238410758866,35310.209788163396
35369.99,35294.41,35372.28805032411,35303.6828461012
35373.91,35267.95,35363.27634210224,35297.5131442423
35359.99,35287.96,35354.37241934746,35292.26672593377
35331.43,35296.84,35345.95353484053,35287.92730510278
35347.39,35305.34,35338.64126843221,35284.558518855454
35335.96,35309.22,35332.416495912905,35282.182137871976
35300.22,35267.95,35327.599634230006,35280.76986966467
35300.01,35267.95,35324.70470460262,35280.76307924782
35300.0,35267.95,35323.7244933985,35282.08847272165
35327.12,35280.18,35324.697057798876,35284.69818641371
35309.43,35265.32,35327.190725306566,35288.36219616981
35307.69,35267.01,35331.25561686949,35293.12122721891
35310.26,35269.53,35336.701536704786,35298.69361047746
35330.0,35306.37,35343.15671530229,35304.85648183545
35367.45,35322.65,35350.092823684405,35310.97012915872
35373.91,35323.95,35356.77662220715,35316.59676882868
35385.82,35339.32,35362.9026077237,35321.65582241379
35398.01,35356.08,35368.23825800222,35325.81659603715
35367.71,35333.49,35372.35618838979,35328.78938751379
35373.75,35333.01,35375.52779052623,35330.82335951836
35373.91,35352.89,35377.5658610391,35331.87216537219
35413.86,35373.91,35378.435875080104,35331.679539532626
35419.91,35340.94,35377.513490742655,35330.03526626488
35366.55,35309.23,35374.6751949291,35327.39698247048
35362.62,35294.41,35370.754199264346,35324.16762043526
35360.48,35301.8,35365.898721780366,35320.72362857364
35361.74,35330.01,35360.23793360752,35317.03116852585
35373.91,35330.43,35353.944358228546,35312.8400588826
35330.45,35280.55,35347.074207659105,35308.216767329286
